nut,yPlus,k,p_rgh,p,omega,U0,U1,U2,Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
2.62444e-05,0,7.20735e-06,6.61349,11.8803,0.274624,-0.159943,-4.65425e-05,-5.49758e-05,0.000426662,0.00124188,0.999999,-9.76517,1.00984,-0.200506,66,2
2.62454e-05,0,7.2078e-06,6.60714,12.1105,0.274631,-0.159939,-4.96095e-05,-2.1466e-05,0.000624697,-0.000434159,1,-9.75,1.01786,-0.200528,67,2
2.62082e-05,0,7.19201e-06,6.62675,11.5231,0.274418,-0.16006,2.19486e-05,-3.43863e-05,-0.000521743,0.000499456,1,-10.4859,1.01043,-0.200468,68,2
2.62284e-05,0,7.19785e-06,6.62521,11.5904,0.27443,-0.160045,1.01553e-05,-3.76952e-05,-0.000197409,-0.0011356,0.999999,-10.4857,0.628968,-0.200475,69,2
2.63688e-05,0,7.25204e-06,6.5922,13.6483,0.275022,-0.159801,-8.87852e-05,-5.25586e-05,0.000325077,-0.00010719,1,-9.375,0.819643,-0.200684,70,2
2.64895e-05,0,7.29013e-06,6.59367,13.8072,0.275206,-0.159815,-5.59028e-05,-5.30251e-05,0.00030148,-3.03715e-05,1,-9.375,0.621429,-0.2007,71,2
2.69579e-05,0,7.46384e-06,6.63134,15.1575,0.276857,-0.160375,0.000256145,-5.90018e-05,-0.000123673,7.71943e-05,1,-8.625,0.819643,-0.200832,72,2
2.6561e-05,0,7.32171e-06,6.59364,14.9537,0.275653,-0.159874,-3.5604e-05,-7.41996e-05,0.000200854,-1.25295e-05,1,-9,0.819643,-0.200815,73,2
2.75435e-05,0,7.6502e-06,6.65035,14.9845,0.277723,-0.160608,0.000358914,-4.94827e-05,-0.000121878,9.5976e-05,1,-8.625,0.621429,-0.200813,74,2
2.68318e-05,0,7.40746e-06,6.60241,14.9265,0.276063,-0.159973,3.60445e-05,-6.871e-05,0.000152045,4.35776e-05,1,-9,0.621429,-0.200811,75,2
2.92562e-05,0,8.28927e-06,6.82757,12.2053,0.283171,-0.162784,0.00175698,1.34303e-05,-0.000329249,-0.000368568,1,-7.875,0.819643,-0.200516,76,2
2.77522e-05,0,7.74733e-06,6.7176,13.9291,0.27911,-0.161395,0.000871348,-1.45192e-05,-0.000369555,2.03479e-05,1,-8.25,0.819643,-0.2007,77,2
3.15398e-05,0,9.03954e-06,6.8566,13.2514,0.286332,-0.163238,0.00178501,5.41305e-05,-3.95642e-05,-0.000405004,1,-7.875,0.621429,-0.200619,78,2
2.89517e-05,0,8.13327e-06,6.74127,14.0272,0.28083,-0.16177,0.000963973,-9.2476e-06,-0.00024318,-2.35805e-05,1,-8.25,0.621429,-0.200708,79,2
2.61932e-05,0,7.18415e-06,6.61324,12.324,0.274276,-0.159991,2.01585e-06,-1.09027e-05,-2.54313e-06,-2.25531e-07,1,-14.25,1.41429,-0.200549,80,2
2.61933e-05,0,7.1841e-06,6.61298,12.3383,0.274273,-0.160001,2.33905e-06,-1.04622e-05,-1.99344e-06,1.62884e-07,1,-15,1.41429,-0.20055,81,2
2.61928e-05,0,7.18425e-06,6.61351,12.3018,0.274283,-0.159985,5.53363e-07,-1.13874e-05,-3.54316e-07,-9.89831e-07,1,-13.5,1.41429,-0.200546,82,2
2.61923e-05,0,7.18435e-06,6.61326,12.3187,0.274293,-0.159973,-1.46004e-06,-1.17945e-05,2.68552e-06,1.56619e-07,1,-12.75,1.41429,-0.200548,83,2
2.61918e-05,0,7.18459e-06,6.61399,12.3363,0.274307,-0.159976,2.74941e-06,-1.08752e-05,-1.08447e-05,8.3885e-06,1,-12,1.41429,-0.20055,84,2
2.61927e-05,0,7.18563e-06,6.61771,12.1465,0.274337,-0.160019,2.24892e-05,-6.60351e-06,-4.45611e-05,1.83683e-05,1,-11.25,1.41429,-0.20053,85,2
2.61996e-05,0,7.18929e-06,6.62361,11.6924,0.274405,-0.160075,4.20405e-05,4.03877e-07,-0.000510314,0.000293226,1,-10.5,1.41429,-0.200484,86,2
2.62437e-05,0,7.20713e-06,6.61324,11.8748,0.274623,-0.159942,-4.65877e-05,-5.32602e-05,0.000731749,-0.000768009,0.999999,-9.76516,1.02587,-0.200505,87,2
2.62337e-05,0,7.20417e-06,6.60886,11.8569,0.274615,-0.159953,-4.84334e-05,-1.86111e-05,0.00086154,-0.000153581,1,-9.75,1.21607,-0.200502,88,2
2.62325e-05,0,7.20366e-06,6.61461,11.6409,0.274608,-0.159956,-4.57103e-05,-4.89557e-05,0.000721731,-0.000125392,1,-9.76445,1.21607,-0.200482,89,2
2.62228e-05,0,7.1999e-06,6.62084,11.3469,0.274567,-0.160008,-1.15703e-05,-3.9071e-05,0.000347297,0.00123962,0.999999,-9.76354,1.40713,-0.200451,90,2
2.62235e-05,0,7.20021e-06,6.61569,11.5416,0.274571,-0.160008,-1.27483e-05,-1.03744e-05,0.000551158,-0.000403736,1,-9.75,1.41429,-0.20047,91,2
2.61998e-05,0,7.18938e-06,6.62858,11.4811,0.274406,-0.160073,4.13861e-05,-2.97489e-05,-0.000576925,0.000497716,1,-10.4861,1.40693,-0.200464,92,2
2.62076e-05,0,7.19181e-06,6.62652,11.5181,0.274417,-0.16006,2.19095e-05,-3.27965e-05,-0.000250085,-0.00112996,0.999999,-10.486,1.02528,-0.200468,93,2
2.62621e-05,0,7.21594e-06,6.59288,12.951,0.274766,-0.159832,-0.000112741,-4.57768e-05,0.000368562,-0.000184084,1,-9.375,1.21607,-0.200614,94,2
2.62921e-05,0,7.22667e-06,6.59165,13.3564,0.274861,-0.159808,-0.000110822,-5.10997e-05,0.000357866,-0.000144603,1,-9.375,1.01786,-0.200654,95,2
