Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
0.000590035,0.00218864,0.999997,-9.7925,1.78825,-0.201417,114,2
0.000687812,0.000423862,1,-9.75,1.81071,-0.201501,115,2
-0.000373061,0.000849444,1,-10.4644,1.79189,-0.201187,116,2
-0.000336232,-0.000804257,1,-10.464,1.43331,-0.2012,117,2
0.000210106,0.00122933,0.999999,-9.375,1.6125,-0.201267,118,2
6.88499e-05,-0.000833198,1,-9.375,1.41429,-0.201132,119,2
0.000121885,0.00180095,0.999998,-8.625,1.6125,-0.20151,120,2
0.000253915,0.00153891,0.999999,-9,1.6125,-0.201387,121,2
-0.00011709,-0.000172895,1,-8.625,1.41429,-0.201158,122,2
5.14256e-05,-0.000663524,1,-9,1.41429,-0.201182,123,2
-0.000661763,0.00170289,0.999998,-7.875,1.6125,-0.201335,124,2
-0.000225934,0.00180953,0.999998,-8.25,1.6125,-0.201498,125,2
-0.000634614,0.00132578,0.999999,-7.875,1.41429,-0.20097,126,2
-0.000388139,0.000596968,1,-8.25,1.41429,-0.201097,127,2
4.92666e-05,1.90448e-06,1,-14.25,2.20714,-0.200897,128,2
3.51403e-05,4.22244e-06,1,-15,2.20714,-0.200871,129,2
6.8893e-05,-3.00708e-07,1,-13.5,2.20714,-0.200942,130,2
8.80857e-05,1.37198e-06,1,-12.75,2.20714,-0.200996,131,2
0.000105004,1.64638e-05,1,-12,2.20714,-0.201072,132,2
0.000111398,3.01961e-05,1,-11.25,2.20714,-0.201157,133,2
-0.00034745,0.000207048,1,-10.5,2.20714,-0.201251,134,2
0.00106805,-0.000589827,0.999999,-9.79281,1.83334,-0.201427,135,2
0.00101497,-0.000437172,0.999999,-9.75,2.00893,-0.201518,136,2
0.00100664,-0.000624842,0.999999,-9.79323,2.00893,-0.201441,137,2
0.00044417,0.000353113,1,-9.78639,2.18791,-0.201213,138,2
0.000546242,-0.000958404,0.999999,-9.75,2.20714,-0.201252,139,2
-0.000345692,0.000177249,1,-10.4636,2.18793,-0.201212,140,2
7.44531e-05,-0.00100934,1,-10.4641,1.82967,-0.201196,141,2
0.000112745,-0.000983565,1,-9.375,2.00893,-0.201592,142,2
0.000298228,0.000858019,1,-9.375,1.81071,-0.20163,143,2
1.91861e-05,-0.00141891,0.999999,-8.625,2.00893,-0.201568,144,2
