nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
3.52079e-05,1,0,9.90228e-06,-2.48622,27789.9,0.281252,-0.219721,0,0.000136344,-9.75,0,-2.91667,139,2
3.52077e-05,1,0,9.9024e-06,-2.48032,27789.9,0.281256,-0.219775,0,0.0001403,-9.375,0,-2.91667,140,2
3.5208e-05,1,0,9.90289e-06,-2.46343,27789.9,0.281268,-0.219894,0,0.000108239,-8.625,0,-2.91667,141,2
3.52078e-05,1,0,9.9026e-06,-2.4724,27789.9,0.281262,-0.219835,0,0.000128178,-9,0,-2.91667,142,2
3.52086e-05,1,0,9.90346e-06,-2.44618,27789.9,0.28128,-0.220014,0,9.03575e-05,-7.875,0,-2.91667,143,2
3.52083e-05,1,0,9.9032e-06,-2.45437,27789.9,0.281274,-0.219952,0,9.23529e-05,-8.25,0,-2.91667,144,2
3.52075e-05,1,0,9.90141e-06,-2.53188,26701.6,0.28123,-0.219997,-4.76261e-07,-0.000121772,-15,0.225,-2.80833,145,2
3.52076e-05,1,0,9.90132e-06,-2.52524,26701.6,0.281227,-0.219934,0,-0.000120508,-14.25,0,-2.80833,146,2
3.52077e-05,1,0,9.9014e-06,-2.51528,26701.6,0.281228,-0.219913,0,-0.000120524,-13.5,0,-2.80833,147,2
3.52078e-05,1,0,9.90152e-06,-2.50984,26701.6,0.281231,-0.219862,0,-0.000118015,-12.75,0,-2.80833,148,2
3.52081e-05,1,0,9.90171e-06,-2.50889,26701.6,0.281234,-0.219827,0,-9.4079e-05,-12,0,-2.80833,149,2
3.52084e-05,1,0,9.90201e-06,-2.51372,26701.6,0.28124,-0.219807,0,-2.50222e-05,-11.25,0,-2.80833,150,2
3.52087e-05,1,0,9.90236e-06,-2.51091,26701.6,0.281248,-0.219818,0,9.54414e-05,-10.5,0,-2.80833,151,2
3.52087e-05,1,0,9.90267e-06,-2.4935,26701.6,0.281256,-0.219865,0,0.000229678,-9.75,0,-2.80833,152,2
3.52087e-05,1,0,9.90285e-06,-2.48172,26701.6,0.281262,-0.219907,0,0.000281246,-9.375,0,-2.80833,153,2
3.52094e-05,1,0,9.90356e-06,-2.45587,26701.7,0.281276,-0.219997,0,0.000335019,-8.625,0,-2.80833,154,2
3.52089e-05,1,0,9.90315e-06,-2.46898,26701.7,0.281268,-0.219955,0,0.000313468,-9,0,-2.80833,155,2
3.52103e-05,1,0,9.90429e-06,-2.4316,26701.7,0.28129,-0.220055,0,0.000374917,-7.875,0,-2.80833,156,2
3.52099e-05,1,0,9.90397e-06,-2.44322,26701.7,0.281284,-0.220029,0,0.000352712,-8.25,0,-2.80833,157,2
3.52076e-05,1,0,9.90148e-06,-2.49477,25631.5,0.281231,-0.219997,-4.5513e-07,-0.000185486,-15,0.225,-2.7,158,2
3.52077e-05,1,0,9.90139e-06,-2.49134,25633.9,0.281228,-0.219932,0,-0.000206924,-14.25,0,-2.7,159,2
3.52078e-05,1,0,9.90147e-06,-2.48262,25633.9,0.28123,-0.219906,0,-0.000205096,-13.5,0,-2.7,160,2
3.5208e-05,1,0,9.90161e-06,-2.47975,25633.9,0.281232,-0.219843,0,-0.000197422,-12.75,0,-2.7,161,2
3.52083e-05,1,0,9.90183e-06,-2.48165,25633.9,0.281236,-0.21978,0,-0.000168285,-12,0,-2.7,162,2
3.52086e-05,1,0,9.90215e-06,-2.49226,25633.9,0.281242,-0.219721,0,-9.87511e-05,-11.25,0,-2.7,163,2
3.5209e-05,1,0,9.90255e-06,-2.49931,25633.9,0.28125,-0.219702,0,4.8741e-06,-10.5,0,-2.7,164,2
3.52093e-05,1,0,9.90299e-06,-2.49145,25633.2,0.281261,-0.219751,0,0.00010487,-9.75,0,-2.7,165,2
3.52096e-05,1,0,9.9033e-06,-2.48296,25632.8,0.281267,-0.219805,0,0.000130553,-9.375,0,-2.7,166,2
3.5211e-05,1,0,9.90434e-06,-2.46142,25632.8,0.281286,-0.219923,0,0.000107276,-8.625,0,-2.7,167,2
3.52102e-05,1,0,9.90377e-06,-2.47259,25632.8,0.281276,-0.219866,0,0.000126084,-9,0,-2.7,168,2
3.52123e-05,1,0,9.90529e-06,-2.44062,25632.9,0.281302,-0.220022,0,9.45403e-05,-7.875,0,-2.7,169,2
3.52118e-05,1,0,9.90488e-06,-2.45027,25632.9,0.281295,-0.219973,0,9.22038e-05,-8.25,0,-2.7,170,2
3.52075e-05,1,0,9.90155e-06,-2.52397,24608.8,0.281234,-0.219998,-4.93926e-07,-0.000143126,-15,0.225,-2.6,171,2
3.52075e-05,1,0,9.90146e-06,-2.51738,24608.8,0.281231,-0.219934,0,-0.000141411,-14.25,0,-2.6,172,2
3.52076e-05,1,0,9.90154e-06,-2.50754,24608.8,0.281233,-0.219911,0,-0.000140692,-13.5,0,-2.6,173,2
3.52077e-05,1,0,9.90169e-06,-2.50215,24608.8,0.281237,-0.219855,0,-0.000136497,-12.75,0,-2.6,174,2
3.52079e-05,1,0,9.90193e-06,-2.50161,24608.8,0.281241,-0.219809,0,-0.000106155,-12,0,-2.6,175,2
3.52084e-05,1,0,9.90231e-06,-2.50826,24608.8,0.281249,-0.219776,0,-2.59583e-05,-11.25,0,-2.6,176,2
3.52089e-05,1,0,9.90282e-06,-2.50859,24608.8,0.281259,-0.219779,0,0.000111487,-10.5,0,-2.6,177,2
