nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
1.38026e-05,1,0,3.4656e-06,-0.0509299,33819.6,0.251082,-0.0800002,4.15894e-10,-6.75298e-07,-15,0.225,-3.56667,54,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508774,33819.6,0.251081,-0.079999,0,-6.44947e-07,-14.25,0,-3.56667,55,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507795,33819.6,0.251081,-0.0799982,0,-5.81928e-07,-13.5,0,-3.56667,56,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506837,33819.6,0.251081,-0.0799974,0,-5.04186e-07,-12.75,0,-3.56667,57,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505862,33819.6,0.251082,-0.0799967,0,-4.02796e-07,-12,0,-3.56667,58,0,2
1.38028e-05,1,0,3.46562e-06,-0.0504954,33819.6,0.251082,-0.0799963,0,-2.89153e-07,-11.25,0,-3.56667,59,0,2
1.38028e-05,1,0,3.46563e-06,-0.0504232,33819.6,0.251082,-0.0799961,0,-1.89502e-07,-10.5,0,-3.56667,60,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503737,33819.6,0.251081,-0.079996,0,-1.16727e-07,-9.75,0,-3.56667,61,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503589,33819.6,0.251081,-0.0799961,0,-9.30731e-08,-9.375,0,-3.56667,62,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503535,33819.6,0.251081,-0.0799969,0,-7.39608e-08,-8.625,0,-3.56667,63,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503523,33819.6,0.251081,-0.0799964,0,-8.0164e-08,-9,0,-3.56667,64,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503806,33819.6,0.251081,-0.0799987,0,-4.21211e-08,-7.875,0,-3.56667,65,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503628,33819.6,0.251081,-0.0799977,0,-6.78007e-08,-8.25,0,-3.56667,66,0,2
1.38026e-05,1,0,3.4656e-06,-0.050913,32731.3,0.251082,-0.0800002,2.23244e-11,-6.15558e-07,-15,0.225,-3.45833,67,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508622,32731.3,0.251081,-0.079999,0,-5.99519e-07,-14.25,0,-3.45833,68,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507682,32731.3,0.251081,-0.0799982,0,-5.63386e-07,-13.5,0,-3.45833,69,0,2
